sku,name,brand,category_hint,vehicle_make,vehicle_model,year,oem_cross_ref,replaced_by,price,stock,notes
REF0336,SPARK PLUG Renault Sandero 2017 Dayco,Dayco,spark_plug,Renault,Sandero,2017,A9617,,118517,27,
SKU-0018,Clutch Kit Renault Duster 2016 Purflux,Purflux,,Renault,Duster,,OEM 98100,,15008,,
SKU-0835,Battery Yamaha NMAX 2020,Mann,battery,Yamaha,NMAX,2020,,,50840,13,
REF0124,Engine Oil 5w-30 Mineral,TRW,,Yamaha,NMAX,,S2525,,15429.00,,
SKU-0454,BATERIA NMAX 2018,Hengst,battery,Yamaha,NMAX,2018,A7632,,10920.00,14,
SKU-0252,Sachs brake pad set Bajaj Pulsar 2014,Sachs,,Bajaj,Pulsar,2014,94020-53450,,9988,,
SKU-0507,Champion Lampara H4 Renault Sandero 2013,Champion,bulb,Renault,Sandero,2013,6215039,,35318,36,
SKU-0447,Fram DOT4,,brake_fluid,,Rio,,OEM 94342,,20814.00,26,
M-0645,FILTRO DE AIRE Toyota Corolla 2018 Fram,Fram,,,Corolla,2018,S1195,,239646,19,
SKU-0353,Pastillas de Freno Honda CB125 2020,Purflux,brake_pad,Honda,CB125,,,,28342,56,
SKU-0144,OEM Foco H4 Accent 2017,OEM,bulb,Hyundai,Accent,2017,2512639,,COP 67091,21,
P00561,Battery Duster 2021,Sachs,battery,,,2021,94035-52253,,84870.00,24,
P00260,Acumulador Bajaj Pulsar,SKF,,,Pulsar,2016,OEM 31514,,COP 318243,agotado,
SKU-0245,Denso Spark Plg Mazda 2 2015,Denso,spark_plug,,2,2015,6451240,,COP 21090,3,
REF0212,Brake Fluid Gates,Gates,,Hyundai,,2012,7645055,,10593,agotado,
P00254,Timing belt kit Mann,Mann,,Nissan,Sentra,2013,OEM 70321,,10972,27,
P00451,Clutch Nissan Versa,TRW,clutch_kit,,Versa,,6806823,,320385,42,
REF0185,Filtro de Aire Rio 2013,,,Kia,Rio,2013,OEM 60019,,$ 6795,53,
SKU-0623,Kit de Embrague,Wix,clutch_kit,Hyundai,,2019,S2402,,13512,39,
SKU-0108,Correa Distribucion Toyota Yaris 2014,Denso,timing_belt,Toyota,Yaris,2014,,,321739,13,
SKU-0613,A.Filter Nissan Versa 2019,Gates,air_filter,Nissan,Versa,2019,,,8139,0,
SKU-0624,Pastillas Mazda 3 2014,Dayco,brake_pad,Mazda,3,2014,6764231,,118022.00,31,
SKU-0312,Pastillass de Freno Bajaj Boxer 2015,Generic,brake_pad,Bajaj,Boxer,,94684-70977,,$ 119326,16,
M-0581,filtro a/c Versa,Brembo,cabin_filter,Nissan,Versa,2014,91488-36133,,COP 44092,,
SKU-0166,Cadena de Transmision Purflux,Purflux,,,GN125,2012,S5447,,35922,0,
REF0175,past. freno Chevrolet Aveo 2011 Champion,Champion,,Chevrolet,Aveo,2011,2909002,,85477.00,14,
P00201,engine oil 10w40 4L,Hengst,,Honda,CB125,2018,90845-67092,,$ 318426,5,
P00013,LUBRICANTE MOTOR 5w-30 4L Brembo,Brembo,engine_oil,Yamaha,FZ16,,W1691,,$238.400,49,
B-0181,FILTRO DE AIRE,Dayco,air_filter,Honda,CB125,2020,93163-46478,,$320.125,25,
SKU-0651,Shock Absorber Renault Duster 2016 Mann,Mann,shock,Renault,Duster,,S2439,,$ 46626,43,
REF0552,Wiper 2,Hengst,wiper,,,2019,5124639,,$ 29546,49,
B-0734,Bujiaa 2 2015,Mahle,,Mazda,2,,,,$240.216,23,
SKU-0040,Monroe Filtro de Combustible Logan 2014,Monroe,,,Logan,,,,$ 52907,0,
A-0812,FOCO h7 Volkswagen Gol 2014 TRW,TRW,bulb,Volkswagen,,2014,94971-74640,,$17.411,52,reemplazado por SKU-0811
SKU-0089,Drive Chain TRW,TRW,chain,Bajaj,Pulsar,2016,3477591,,$ 43166,few,
SKU-0247,TRW Filtro Aire Motor GN125,TRW,air_filter,,GN125,,OEM 45160,,COP 32698,46,
B-0659,Sprocket Yamaha FZ16 2017,SKF,,Yamaha,FZ16,2017,,,7595,17,
REF0228,FILTRO DE ACEITE Honda CB125 2018 Wix,,,Honda,CB125,2018,S4161,,$9.564,28,
SKU-0023,Correa de Distribucion Bosch,,timing_belt,,Yaris,2014,98240-80149,,$12.700,31,
SKU-0216,Correa Distribucion Hilux Denso,Denso,,Toyota,Hilux,2015,3998813,,COP 166576,4,
P00718,Filtro Polen Sandero Generic,,cabin_filter,Renault,Sandero,,OEM 55629,,165870.00,39,
SKU-0837,Sproket Honda CB125 2020,Denso,sprocket,,CB125,2020,97322-44060,,27193,31,
SKU-0726,Foco 9005 Volkswagenn Gol 2011,,,Volkswagen,,,,,10513,60,
SKU-0270,Brembo Air Filt Renault Logan 2014,,,Renault,,,W8111,,COP 165603,few,
C-0479,Bujias Sentra,Valeo,,Nissan,Sentra,,5281157,,$9.719,51,
SKU-0164,Aceite 5W30 Hengst,Hengst,engine_oil,,Sentra,2018,96422-96981,,239617.00,22,
P00754,Brake Pads Nissan Versa 2014 Dayco,Dayco,,Nissan,Versa,2014,91879-96126,,$20.515,34,
REF0099,Lampara H7 GN125 2018,Mahle,bulb,,GN125,2018,9199668,,COP 166507,31,
SKU-0120,bateria Yamaha NMAX 2022,Wix,,Yamaha,,2022,OEM 65763,,15060,,
SKU-0333,Hengst BATERIA 12V GN125,Hengst,,Suzuki,GN125,,93760-24111,,20913,8,
SKU-0593,BUJIA Toyota Yaris 2019 OEM,OEM,spark_plug,Toyota,Yaris,,B7573,,$86.569,23,
P00761,Brembo Amortiguador Delantero Renault Duster 2014,Brembo,shock,Renault,Duster,2014,OEM 60716,,21498,25,posible duplicado
SKU-0257,Amort. Mazda 3 2012 Denso,Denso,shock,Mazda,3,,96051-24993,,$ 34689,9,
P00478,Cabin Filter Kia Rio 2015 TRW,TRW,,Kia,Rio,2015,,,164789,0,
SKU-0508,Brake Fluid,Mahle,brake_fluid,Bajaj,Pulsar,,6386010,,$ 21245,36,
P00680,Liquido Refrigerante NKD125,Gates,coolant,AKT,NKD125,2015,6936053,,$22.578,41,
P00056,Valeo Correa accesorios Toyota Hilux,Valeo,,Toyota,,,B3608,,166747,22,
SKU-0762,Headlight Bulb H-7 NGK,NGK,,Yamaha,NMAX,2020,OEM 55587,,12376,54,posible duplicado
SKU-0045,NGK DOT4,NGK,,AKT,NKD125,2015,99385-91552,,$35.019,0,
P00566,Wiper Blade 2 2015 Hengst,Hengst,wiper,Mazda,,2015,2221396,,$ 21942,37,
C-0584,Balinera Nissan Sentra 2013,Generic,wheel_bearing,Nissan,Sentra,2013,W4518,,$16.954,12,
SKU-0087,KIT ARRASTRE Monroe,Monroe,,Yamaha,NMAX,2018,S3447,,$28.213,0,
M-0664,FILTRO DDE AIRE Kia Rio TRW,TRW,air_filter,Kia,Rio,2013,1266968,,$321.295,39,
SKU-0205,TRW Amortiguador 3,,shock,Mazda,3,,B7049,,241482,53,
REF0104,Denso Lubricante Motor SAE 5W-30 Sintetico,Denso,,Kia,Rio,2017,OEM 10512,,28128.00,43,
SKU-0004,Liquido Refrigerante,OEM,coolant,,NMAX,2022,OEM 99291,,319825,43,
SKU-0079,Filtro Aire Motor Versa Dayco,Dayco,air_filter,Nissan,Versa,2019,6406591,,COP 26748,52,
SKU-0662,Filtro Aire Motor Hilux 2015 SKF,SKF,,Toyota,Hilux,,6727884,,$12.929,agotado,
SKU-0285,Sachs Filtro de aceite motor AKT NKD125,Sachs,,AKT,,2019,,,12015,32,
SKU-0514,Liquido de Frenos Denso,Denso,brake_fluid,Honda,CB125,2020,OEM 45863,,319912,15,
B-0317,bombillo 9006,,,,GN125,2014,4405324,,319147.00,45,
SKU-0555,PINON SALIDA AKT NKD125 2017 OEM,OEM,sprocket,AKT,NKD125,2017,W2463,,166436,3,
SKU-0423,Plumilla Bosch,Bosch,,Nissan,,,96838-96071,,$164.981,25,
P00720,BUJIA Mazda 3 2018 OEM,OEM,spark_plug,Mazda,3,2018,S5275,,$8.269,55,
SKU-0717,AIR FILT Chevrolet Spark,NGK,,Chevrolet,Spark,2015,W8573,,46760,agotado,
SKU-0375,Wix Kit Clutch Corolla 2014,Wix,clutch_kit,Toyota,,2014,OEM 86298,,239204.00,3,
REF0308,Correa Unica Hilux Valeo,Valeo,serpentine_belt,,Hilux,2015,97122-64937,,$163.233,32,
SKU-0546,Dayco Oil Filt. Honda CB125 2018,,oil_filter,,,2018,99803-71046,,28239,60,
SKU-0198,Filtro Aire Motor Renault Sandero 2015,Sachs,air_filter,Renault,Sandero,,,,$163.335,19,
P00031,Generic Balinera Rio,Generic,wheel_bearing,Kia,,2015,,,$45.645,55,
SKU-0678,Coolant Concentrate,Valeo,,,Corolla,2013,94644-57714,,29006,24,
SKU-0487,NGK BEARING Nissan Versa 2016,NGK,,,Versa,2016,,,17233,31,
P00760,Correa Poly-V Toyota Yaris 2017 OEM,OEM,serpentine_belt,Toyota,Yaris,2017,90547-39936,,COP 27793,32,
P00643,Amortiguador Trasero Suzuki GN125 2014,Mann,,Suzuki,GN125,2014,S2288,,12391.00,,
SKU-0708,Valeo CORREA DISTRIBUCION Mazda 2 2019,Valeo,,Mazda,2,2019,,,66185,0,
REF0428,Bearing Sail Bossch,,wheel_bearing,Chevrolet,Sail,2017,,,238374,45,
SKU-0824,Wix FILTRO DE ACEITE MOTOR Bajaj Boxer 2017,Wix,oil_filter,Bajaj,Boxer,2017,,P00823,COP 68163,32,descontinuado
SKU-0041,Sprocket Honda XR150 2020 OEM,OEM,sprocket,,XR150,,OEM 34674,,32265,33,
SKU-0301,bujia de encendido,OEM,spark_plug,,,2015,2491609,,240412,agotado,
P00639,Lampara H4 12V 60/55W NMAX 2020,Wix,,Yamaha,,2020,A9403,,10094,3,
SKU-0117,Wheel Bearing Renault Logan 2016 Mann,Mann,wheel_bearing,,Logan,2016,5276260,,66294,49,
SKU-0071,Purflux Cadena Moto CB125 2014,Purflux,,Honda,CB125,,94333-64924,,23387,4,
SKU-0530,Headlight Bulb H1 Suzuki GN125 2016,Wix,bulb,,,,OEM 98336,,$ 85937,agotado,
SKU-0433,Correa Unica Spark,,,Chevrolet,Spark,2018,S4216,,8898.00,38,
REF0663,Balinera Mazda 2 2015,Monroe,,Mazda,2,2015,,,COP 320595,58,
SKU-0535,chain kit Pulsar Monroe,Monroe,chain,,Pulsar,2020,OEM 65696,,318829,,
P00405,FILTRO DE AIRE Yamaha FZ16 2015 Hengst,Hengst,air_filter,,FZ16,,94347-97378,,$ 84043,20,
REF0420,brake fluid Monroe,Monroe,brake_fluid,Toyota,Yaris,2017,,,$120.268,54,
P00235,Air Filt Aveo 2009,SKF,,Chevrolet,,2009,91340-14510,,COP 21902,6,
SKU-0681,FUEL FILTER Mazda 3 2018,Brembo,fuel_filter,,3,2018,A5872,,$ 239807,33,
P00583,Filtro de Aire,OEM,air_filter,Honda,XR150,2018,7178004,,32912.00,6,
